iter	Passed	Remaining
0	1	108
1	2	98
2	2	90
3	3	82
4	4	83
5	5	80
6	6	79
7	7	81
8	8	82
9	8	80
10	10	81
11	11	80
12	11	79
13	12	78
14	13	77
15	14	76
16	15	74
17	16	74
18	17	72
19	17	71
20	18	71
21	19	70
22	20	69
23	21	68
24	22	67
25	23	66
26	24	66
27	25	65
28	26	64
29	27	63
30	27	62
31	28	60
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	34	55
38	34	54
39	35	53
40	36	52
41	37	51
42	38	50
43	39	50
44	40	49
45	41	48
46	42	47
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	47	41
53	47	40
54	48	39
55	49	38
56	49	37
57	50	36
58	51	35
59	52	34
60	52	33
61	53	33
62	54	32
63	55	31
64	56	30
65	56	29
66	57	28
67	58	27
68	59	26
69	60	25
70	60	24
71	61	23
72	62	23
73	63	22
74	64	21
75	64	20
76	65	19
77	66	18
78	67	17
79	67	16
80	68	16
81	69	15
82	70	14
83	70	13
84	71	12
85	72	11
86	73	10
87	73	10
88	74	9
89	75	8
90	76	7
91	76	6
92	77	5
93	78	5
94	79	4
95	79	3
96	80	2
97	81	1
98	82	0
99	83	0
