iter	Passed	Remaining
0	143	143639
1	146	72893
2	147	49173
3	149	37294
4	151	30119
5	152	25315
6	153	21790
7	155	19257
8	156	17209
9	157	15594
10	158	14236
11	159	13118
12	160	12183
13	161	11379
14	162	10656
15	162	10024
16	163	9471
17	164	8970
18	165	8526
19	165	8122
20	166	7758
21	167	7437
22	168	7142
23	168	6869
24	169	6612
25	170	6376
26	170	6154
27	171	5951
28	171	5758
29	172	5580
30	173	5411
31	173	5252
32	174	5109
33	175	4980
34	176	4854
35	176	4735
36	177	4618
37	177	4506
38	178	4401
39	179	4302
40	179	4207
41	180	4115
42	181	4029
43	181	3946
44	182	3866
45	182	3790
46	183	3720
47	184	3652
48	184	3586
49	185	3521
50	185	3458
51	186	3397
52	186	3339
53	187	3283
54	187	3229
55	188	3182
56	189	3136
57	190	3089
58	191	3049
59	192	3009
60	192	2966
61	193	2925
62	193	2884
63	194	2846
64	195	2807
65	195	2769
66	196	2731
67	196	2694
68	197	2660
69	197	2625
70	198	2592
71	198	2559
72	199	2528
73	199	2497
74	200	2467
75	200	2440
76	201	2412
77	201	2384
78	202	2357
79	202	2330
80	203	2307
81	204	2285
82	204	2260
83	205	2239
84	206	2221
85	207	2200
86	207	2179
87	208	2158
88	208	2139
89	209	2119
90	210	2100
91	210	2081
92	211	2062
93	212	2043
94	212	2025
95	213	2006
96	213	1988
97	214	1971
98	214	1954
99	215	1938
100	215	1921
101	216	1905
102	217	1889
103	217	1874
104	218	1860
105	219	1850
106	220	1839
107	221	1829
108	222	1815
109	222	1802
110	223	1790
111	224	1778
112	224	1765
113	225	1753
114	226	1741
115	226	1729
116	227	1716
117	228	1704
118	228	1693
119	229	1681
120	229	1670
121	230	1658
122	231	1647
123	231	1636
124	232	1626
125	232	1616
126	234	1609
127	235	1601
128	236	1594
129	236	1586
130	237	1576
131	238	1568
132	239	1560
133	240	1551
134	240	1541
135	241	1532
136	241	1523
137	242	1515
138	243	1506
139	243	1497
140	244	1488
141	244	1478
142	245	1470
143	246	1463
144	246	1454
145	247	1447
146	248	1442
147	249	1435
148	250	1430
149	251	1424
150	252	1417
151	252	1410
152	253	1404
153	254	1397
154	254	1389
155	255	1382
156	256	1375
157	256	1368
158	257	1361
159	258	1354
160	258	1346
161	259	1340
162	259	1333
163	260	1326
164	260	1320
165	261	1314
166	262	1308
167	263	1303
168	264	1298
169	265	1293
170	266	1289
171	266	1284
172	267	1278
173	268	1272
174	268	1267
175	269	1263
176	270	1257
177	271	1251
178	271	1246
179	272	1240
180	272	1234
181	273	1229
182	274	1223
183	274	1218
184	275	1212
185	275	1207
186	276	1203
187	277	1198
188	278	1194
189	279	1191
190	280	1188
191	281	1184
192	282	1179
193	282	1174
194	283	1170
195	284	1165
196	284	1160
197	285	1155
198	285	1150
199	286	1145
200	286	1140
201	287	1136
202	288	1132
203	289	1129
204	290	1124
205	290	1120
206	291	1116
207	292	1111
208	292	1107
209	293	1103
210	294	1100
211	295	1097
212	295	1093
213	296	1089
214	297	1085
215	298	1082
216	299	1079
217	299	1075
218	300	1071
219	301	1067
220	301	1063
221	302	1059
222	302	1055
223	303	1051
224	304	1047
225	304	1044
226	305	1040
227	306	1037
228	306	1033
229	307	1029
230	308	1026
231	309	1023
232	310	1020
233	310	1017
234	311	1013
235	312	1010
236	312	1006
237	313	1002
238	313	999
239	314	995
240	315	992
241	315	988
242	316	985
243	316	981
244	317	978
245	317	974
246	318	971
247	319	968
248	320	965
249	320	962
250	321	959
251	322	956
252	322	953
253	323	950
254	324	947
255	325	944
256	325	942
257	326	938
258	327	935
259	327	932
260	328	929
261	328	926
262	329	923
263	330	920
264	330	917
265	331	914
266	332	911
267	332	908
268	333	906
269	334	903
270	334	900
271	335	897
272	335	894
273	336	891
274	337	888
275	337	885
276	338	882
277	339	881
278	340	878
279	340	876
280	341	873
281	341	870
282	342	867
283	343	864
284	343	862
285	344	859
286	344	856
287	345	853
288	346	851
289	346	848
290	347	845
291	347	843
292	348	840
293	349	838
294	349	835
295	350	833
296	350	830
297	351	827
298	352	825
299	352	822
300	353	820
301	354	818
302	354	816
303	355	813
304	356	811
305	356	809
306	357	807
307	358	804
308	358	802
309	359	799
310	359	797
311	360	794
312	361	792
313	361	790
314	362	788
315	363	786
316	363	783
317	364	781
318	364	778
319	365	776
320	366	774
321	366	772
322	367	769
323	367	767
324	368	765
325	369	763
326	369	761
327	370	759
328	371	757
329	371	755
330	372	752
331	373	750
332	373	748
333	374	746
334	374	743
335	375	741
336	375	739
337	376	737
338	377	735
339	377	733
340	378	731
341	379	729
342	379	726
343	380	724
344	380	722
345	381	720
346	381	718
347	382	716
348	383	714
349	383	712
350	384	710
351	385	708
352	385	706
353	386	704
354	386	702
355	387	700
356	388	699
357	388	697
358	389	695
359	389	693
360	390	691
361	391	689
362	391	687
363	392	685
364	393	683
365	393	681
366	394	679
367	394	677
368	395	676
369	395	674
370	396	672
371	397	670
372	397	668
373	398	666
374	398	664
375	399	663
376	400	661
377	401	659
378	401	658
379	402	656
380	402	654
381	403	652
382	404	651
383	404	649
384	405	647
385	405	645
386	406	643
387	407	642
388	407	640
389	408	638
390	408	636
391	409	635
392	410	633
393	410	631
394	411	629
395	411	628
396	412	626
397	412	624
398	413	622
399	413	620
400	414	619
401	415	617
402	415	616
403	416	614
404	417	612
405	417	610
406	418	609
407	418	607
408	419	605
409	419	604
410	420	602
411	420	600
412	421	599
413	421	597
414	422	595
415	423	593
416	423	592
417	424	590
418	425	589
419	425	587
420	426	586
421	426	584
422	427	583
423	427	581
424	428	579
425	429	578
426	429	576
427	430	575
428	431	573
429	431	572
430	432	570
431	432	569
432	433	567
433	434	566
434	434	564
435	435	563
436	435	561
437	436	560
438	436	558
439	437	556
440	438	555
441	438	553
442	439	552
443	439	550
444	440	549
445	440	547
446	441	546
447	441	544
448	442	543
449	443	541
450	443	540
451	444	538
452	444	537
453	445	535
454	446	534
455	446	533
456	447	531
457	448	530
458	448	528
459	449	527
460	449	526
461	450	524
462	451	523
463	451	521
464	452	520
465	452	518
466	453	517
467	453	515
468	454	514
469	454	512
470	455	511
471	455	510
472	456	508
473	457	507
474	457	505
475	458	504
476	458	502
477	459	501
478	459	500
479	460	498
480	461	497
481	461	496
482	462	494
483	462	493
484	463	492
485	463	490
486	464	489
487	465	488
488	465	486
489	466	485
490	466	483
491	467	482
492	467	481
493	468	479
494	469	478
495	469	477
496	470	475
497	470	474
498	471	473
499	471	471
500	472	470
501	472	469
502	473	467
503	473	466
504	474	465
505	474	463
506	475	462
507	476	461
508	476	460
509	477	458
510	478	457
511	478	456
512	479	455
513	480	453
514	480	452
515	481	451
516	481	450
517	482	448
518	482	447
519	483	446
520	483	444
521	484	443
522	485	442
523	485	441
524	486	439
525	486	438
526	487	437
527	487	436
528	488	434
529	488	433
530	489	432
531	490	431
532	490	429
533	491	428
534	492	427
535	492	426
536	493	425
537	494	424
538	494	423
539	495	421
540	495	420
541	496	419
542	497	418
543	497	417
544	498	416
545	499	414
546	499	413
547	500	412
548	500	411
549	501	410
550	501	409
551	502	407
552	503	406
553	504	405
554	504	404
555	505	403
556	506	402
557	507	401
558	508	400
559	508	399
560	509	398
561	510	398
562	511	397
563	512	396
564	513	395
565	514	394
566	514	393
567	515	392
568	516	391
569	517	390
570	517	388
571	518	387
572	519	386
573	519	385
574	520	384
575	521	384
576	522	383
577	523	382
578	524	381
579	525	380
580	525	379
581	526	378
582	527	377
583	528	376
584	529	375
585	530	374
586	530	373
587	531	372
588	532	371
589	535	371
590	538	372
591	539	371
592	540	370
593	541	370
594	542	369
595	543	368
596	544	367
597	545	366
598	547	366
599	549	366
600	550	365
601	551	364
602	553	364
603	554	363
604	555	362
605	557	362
606	558	361
607	559	360
608	560	360
609	562	359
610	563	358
611	564	357
612	565	357
613	567	356
614	568	355
615	570	355
616	571	354
617	572	353
618	573	352
619	573	351
620	574	350
621	575	349
622	577	349
623	578	348
624	579	347
625	581	347
626	582	346
627	583	345
628	584	344
629	585	343
630	586	342
631	587	341
632	588	340
633	588	339
634	589	338
